ID	Name	Sex	Team	NOC	Sport	Age	Height	Weight	Event
135500	Kristaps Zvejnieks	M	Latvia	LAT	Alpine Skiing	17	185	87	Alpine Skiing Men's Giant Slalom
135500	Kristaps Zvejnieks	M	Latvia	LAT	Alpine Skiing	17	185	87	Alpine Skiing Men's Slalom
135492	Veronika Zuzulov (-Velez)	F	Slovakia	SVK	Alpine Skiing	25	172	72	Alpine Skiing Women's Giant Slalom
135492	Veronika Zuzulov (-Velez)	F	Slovakia	SVK	Alpine Skiing	25	172	72	Alpine Skiing Women's Slalom
135485	Stepan Olegovich Zuyev	M	Russia	RUS	Alpine Skiing	21	189	90	Alpine Skiing Men's Downhill
135485	Stepan Olegovich Zuyev	M	Russia	RUS	Alpine Skiing	21	189	90	Alpine Skiing Men's Super G
135485	Stepan Olegovich Zuyev	M	Russia	RUS	Alpine Skiing	21	189	90	Alpine Skiing Men's Giant Slalom
135485	Stepan Olegovich Zuyev	M	Russia	RUS	Alpine Skiing	21	189	90	Alpine Skiing Men's Slalom
135485	Stepan Olegovich Zuyev	M	Russia	RUS	Alpine Skiing	21	189	90	Alpine Skiing Men's Combined
135467	Silvan Zurbriggen	M	Switzerland	SUI	Alpine Skiing	28	185	94	Alpine Skiing Men's Slalom
135467	Silvan Zurbriggen	M	Switzerland	SUI	Alpine Skiing	28	185	94	Alpine Skiing Men's Combined
135293	Natko Zrni-Dim	M	Croatia	CRO	Alpine Skiing	23	175	80	Alpine Skiing Men's Downhill
135293	Natko Zrni-Dim	M	Croatia	CRO	Alpine Skiing	23	175	80	Alpine Skiing Men's Super G
135293	Natko Zrni-Dim	M	Croatia	CRO	Alpine Skiing	23	175	80	Alpine Skiing Men's Giant Slalom
135293	Natko Zrni-Dim	M	Croatia	CRO	Alpine Skiing	23	175	80	Alpine Skiing Men's Slalom
135293	Natko Zrni-Dim	M	Croatia	CRO	Alpine Skiing	23	175	80	Alpine Skiing Men's Combined
134389	Kathrin Zettel	F	Austria	AUT	Alpine Skiing	23	167	61	Alpine Skiing Women's Giant Slalom
134389	Kathrin Zettel	F	Austria	AUT	Alpine Skiing	23	167	61	Alpine Skiing Women's Slalom
134389	Kathrin Zettel	F	Austria	AUT	Alpine Skiing	23	167	61	Alpine Skiing Women's Combined
133852	Jake Zamansky	M	United States	USA	Alpine Skiing	28	178	84	Alpine Skiing Men's Giant Slalom
133812	Igor Valeryevich Zakurdayev	M	Kazakhstan	KAZ	Alpine Skiing	23	187	98	Alpine Skiing Men's Downhill
133812	Igor Valeryevich Zakurdayev	M	Kazakhstan	KAZ	Alpine Skiing	23	187	98	Alpine Skiing Men's Super G
133812	Igor Valeryevich Zakurdayev	M	Kazakhstan	KAZ	Alpine Skiing	23	187	98	Alpine Skiing Men's Giant Slalom
133812	Igor Valeryevich Zakurdayev	M	Kazakhstan	KAZ	Alpine Skiing	23	187	98	Alpine Skiing Men's Slalom
133812	Igor Valeryevich Zakurdayev	M	Kazakhstan	KAZ	Alpine Skiing	23	187	98	Alpine Skiing Men's Combined
133805	Petra Zakouilov	F	Czech Republic	CZE	Alpine Skiing	31	170	68	Alpine Skiing Women's Giant Slalom
133805	Petra Zakouilov	F	Czech Republic	CZE	Alpine Skiing	31	170	68	Alpine Skiing Women's Slalom
133713	Petr Zhrobsk	M	Czech Republic	CZE	Alpine Skiing	29	180	93	Alpine Skiing Men's Downhill
133713	Petr Zhrobsk	M	Czech Republic	CZE	Alpine Skiing	29	180	93	Alpine Skiing Men's Super G
133712	rka Zhrobsk-Strachov	F	Czech Republic	CZE	Alpine Skiing	25	174	66	Alpine Skiing Women's Downhill
133712	rka Zhrobsk-Strachov	F	Czech Republic	CZE	Alpine Skiing	25	174	66	Alpine Skiing Women's Giant Slalom
133712	rka Zhrobsk-Strachov	F	Czech Republic	CZE	Alpine Skiing	25	174	66	Alpine Skiing Women's Slalom
133712	rka Zhrobsk-Strachov	F	Czech Republic	CZE	Alpine Skiing	25	174	66	Alpine Skiing Women's Combined
131996	Xia Lina	F	China	CHN	Alpine Skiing	22	160	60	Alpine Skiing Women's Giant Slalom
131996	Xia Lina	F	China	CHN	Alpine Skiing	22	160	60	Alpine Skiing Women's Slalom
131595	Tessa Worley	F	France	FRA	Alpine Skiing	20	157	57	Alpine Skiing Women's Giant Slalom
130027	Trevor White	M	Canada	CAN	Alpine Skiing	25	175	77	Alpine Skiing Men's Slalom
129302	Andrew Weibrecht	M	United States	USA	Alpine Skiing	24	170	86	Alpine Skiing Men's Downhill
129302	Andrew Weibrecht	M	United States	USA	Alpine Skiing	24	170	86	Alpine Skiing Men's Super G
129302	Andrew Weibrecht	M	United States	USA	Alpine Skiing	24	170	86	Alpine Skiing Men's Combined
128031	Michael Walchhofer	M	Austria	AUT	Alpine Skiing	34	192	100	Alpine Skiing Men's Downhill
128031	Michael Walchhofer	M	Austria	AUT	Alpine Skiing	34	192	100	Alpine Skiing Men's Super G
127598	Martin Vrblk	M	Czech Republic	CZE	Alpine Skiing	27	175	80	Alpine Skiing Men's Super G
127598	Martin Vrblk	M	Czech Republic	CZE	Alpine Skiing	27	175	80	Alpine Skiing Men's Giant Slalom
127598	Martin Vrblk	M	Czech Republic	CZE	Alpine Skiing	27	175	80	Alpine Skiing Men's Slalom
127598	Martin Vrblk	M	Czech Republic	CZE	Alpine Skiing	27	175	80	Alpine Skiing Men's Combined
127321	Hubertus Rudolph von Frstenberg-von Hohenlohe-Langenburg	M	Mexico	MEX	Alpine Skiing	51	183	77	Alpine Skiing Men's Giant Slalom
127321	Hubertus Rudolph von Frstenberg-von Hohenlohe-Langenburg	M	Mexico	MEX	Alpine Skiing	51	183	77	Alpine Skiing Men's Slalom
126557	Sandro Viletta	M	Switzerland	SUI	Alpine Skiing	24	177	77	Alpine Skiing Men's Giant Slalom
126557	Sandro Viletta	M	Switzerland	SUI	Alpine Skiing	24	177	77	Alpine Skiing Men's Slalom
126557	Sandro Viletta	M	Switzerland	SUI	Alpine Skiing	24	177	77	Alpine Skiing Men's Combined
126399	Roger Vidosa Riba	M	Andorra	AND	Alpine Skiing	25	184	76	Alpine Skiing Men's Downhill
126399	Roger Vidosa Riba	M	Andorra	AND	Alpine Skiing	25	184	76	Alpine Skiing Men's Super G
126399	Roger Vidosa Riba	M	Andorra	AND	Alpine Skiing	25	184	76	Alpine Skiing Men's Giant Slalom
126399	Roger Vidosa Riba	M	Andorra	AND	Alpine Skiing	25	184	76	Alpine Skiing Men's Slalom
126399	Roger Vidosa Riba	M	Andorra	AND	Alpine Skiing	25	184	76	Alpine Skiing Men's Combined
124305	Jeroen Van Den Bogaert	M	Belgium	BEL	Alpine Skiing	30	181	78	Alpine Skiing Men's Slalom
123930	Mitja Valeni	M	Slovenia	SLO	Alpine Skiing	32	178	78	Alpine Skiing Men's Slalom
123819	Bernard Vajdi	M	Slovenia	SLO	Alpine Skiing	29	180	84	Alpine Skiing Men's Slalom
122737	Erdin Trksever	M	Turkey	TUR	Alpine Skiing	24	183	82	Alpine Skiing Men's Giant Slalom
122737	Erdin Trksever	M	Turkey	TUR	Alpine Skiing	24	183	82	Alpine Skiing Men's Slalom
122311	Stephanos Alexis Tsimikalis	M	Greece	GRE	Alpine Skiing	24	178	82	Alpine Skiing Men's Giant Slalom
122311	Stephanos Alexis Tsimikalis	M	Greece	GRE	Alpine Skiing	24	178	82	Alpine Skiing Men's Slalom
122301	Nino Tsiklauri	F	Georgia	GEO	Alpine Skiing	16	168	60	Alpine Skiing Women's Giant Slalom
122301	Nino Tsiklauri	F	Georgia	GEO	Alpine Skiing	16	168	60	Alpine Skiing Women's Slalom
121984	Marija Trmi	F	Serbia	SRB	Alpine Skiing	23	173	64	Alpine Skiing Women's Slalom
121799	Dmitry Voldemarovich Trelevsky	M	Kyrgyzstan	KGZ	Alpine Skiing	26	182	75	Alpine Skiing Men's Giant Slalom
121799	Dmitry Voldemarovich Trelevsky	M	Kyrgyzstan	KGZ	Alpine Skiing	26	182	75	Alpine Skiing Men's Slalom
121793	Filip Trejbal	M	Czech Republic	CZE	Alpine Skiing	25	194	97	Alpine Skiing Men's Downhill
121793	Filip Trejbal	M	Czech Republic	CZE	Alpine Skiing	25	194	97	Alpine Skiing Men's Giant Slalom
121793	Filip Trejbal	M	Czech Republic	CZE	Alpine Skiing	25	194	97	Alpine Skiing Men's Slalom
121793	Filip Trejbal	M	Czech Republic	CZE	Alpine Skiing	25	194	97	Alpine Skiing Men's Combined
121733	Dow Travers	M	Cayman Islands	CAY	Alpine Skiing	22	180	86	Alpine Skiing Men's Giant Slalom
121245	Agustn Torres Gutirrez	M	Argentina	ARG	Alpine Skiing	30	171	72	Alpine Skiing Men's Giant Slalom
121245	Agustn Torres Gutirrez	M	Argentina	ARG	Alpine Skiing	30	171	72	Alpine Skiing Men's Slalom
120779	Erjon Tola	M	Albania	ALB	Alpine Skiing	23	180	74	Alpine Skiing Men's Giant Slalom
120779	Erjon Tola	M	Albania	ALB	Alpine Skiing	23	180	74	Alpine Skiing Men's Slalom
120527	Maxime Tissot	M	France	FRA	Alpine Skiing	23	184	81	Alpine Skiing Men's Slalom
120195	rni orvaldsson	M	Iceland	ISL	Alpine Skiing	25	183	86	Alpine Skiing Men's Super G
119535	Adrien Thaux	M	France	FRA	Alpine Skiing	25	182	82	Alpine Skiing Men's Downhill
119535	Adrien Thaux	M	France	FRA	Alpine Skiing	25	182	82	Alpine Skiing Men's Super G
119535	Adrien Thaux	M	France	FRA	Alpine Skiing	25	182	82	Alpine Skiing Men's Combined
119480	Patrick Thaler	M	Italy	ITA	Alpine Skiing	31	177	79	Alpine Skiing Men's Slalom
119294	Ferrn Terra Navarro	M	Spain	ESP	Alpine Skiing	22	178	85	Alpine Skiing Men's Downhill
119294	Ferrn Terra Navarro	M	Spain	ESP	Alpine Skiing	22	178	85	Alpine Skiing Men's Super G
119294	Ferrn Terra Navarro	M	Spain	ESP	Alpine Skiing	22	178	85	Alpine Skiing Men's Giant Slalom
119294	Ferrn Terra Navarro	M	Spain	ESP	Alpine Skiing	22	178	85	Alpine Skiing Men's Combined
116997	Aksel Lund Svindal	M	Norway	NOR	Alpine Skiing	27	189	100	Alpine Skiing Men's Downhill
116997	Aksel Lund Svindal	M	Norway	NOR	Alpine Skiing	27	189	100	Alpine Skiing Men's Super G
116997	Aksel Lund Svindal	M	Norway	NOR	Alpine Skiing	27	189	100	Alpine Skiing Men's Giant Slalom
116997	Aksel Lund Svindal	M	Norway	NOR	Alpine Skiing	27	189	100	Alpine Skiing Men's Combined
116699	Fabienne Suter	F	Switzerland	SUI	Alpine Skiing	25	167	63	Alpine Skiing Women's Downhill
116699	Fabienne Suter	F	Switzerland	SUI	Alpine Skiing	25	167	63	Alpine Skiing Women's Super G
116699	Fabienne Suter	F	Switzerland	SUI	Alpine Skiing	25	167	63	Alpine Skiing Women's Giant Slalom
116699	Fabienne Suter	F	Switzerland	SUI	Alpine Skiing	25	167	63	Alpine Skiing Women's Combined
116371	Marco Timothy Sullivan	M	United States	USA	Alpine Skiing	29	180	93	Alpine Skiing Men's Downhill
116371	Marco Timothy Sullivan	M	United States	USA	Alpine Skiing	29	180	93	Alpine Skiing Men's Super G
116040	Nadia Styger (-Hrlimann)	F	Switzerland	SUI	Alpine Skiing	31	171	70	Alpine Skiing Women's Downhill
116040	Nadia Styger (-Hrlimann)	F	Switzerland	SUI	Alpine Skiing	31	171	70	Alpine Skiing Women's Super G
115742	Georg Streitberger	M	Austria	AUT	Alpine Skiing	28	185	94	Alpine Skiing Men's Super G
115742	Georg Streitberger	M	Austria	AUT	Alpine Skiing	28	185	94	Alpine Skiing Men's Combined
114574	Gina Stechert	F	Germany	GER	Alpine Skiing	22	172	75	Alpine Skiing Women's Downhill
114574	Gina Stechert	F	Germany	GER	Alpine Skiing	22	172	75	Alpine Skiing Women's Super G
114574	Gina Stechert	F	Germany	GER	Alpine Skiing	22	172	75	Alpine Skiing Women's Combined
114516	Patrick Staudacher	M	Italy	ITA	Alpine Skiing	29	190	92	Alpine Skiing Men's Downhill
114516	Patrick Staudacher	M	Italy	ITA	Alpine Skiing	29	190	92	Alpine Skiing Men's Super G
114197	Drago Staicu	M	Romania	ROU	Alpine Skiing	24	191	94	Alpine Skiing Men's Downhill
113941	Andrej porn	M	Slovenia	SLO	Alpine Skiing	28	187	92	Alpine Skiing Men's Downhill
113941	Andrej porn	M	Slovenia	SLO	Alpine Skiing	28	187	92	Alpine Skiing Men's Super G
113941	Andrej porn	M	Slovenia	SLO	Alpine Skiing	28	187	92	Alpine Skiing Men's Giant Slalom
113941	Andrej porn	M	Slovenia	SLO	Alpine Skiing	28	187	92	Alpine Skiing Men's Combined
113745	Brad Spence	M	Canada	CAN	Alpine Skiing	25	184	91	Alpine Skiing Men's Giant Slalom
113745	Brad Spence	M	Canada	CAN	Alpine Skiing	25	184	91	Alpine Skiing Men's Slalom
112335	Leanne Smith	F	United States	USA	Alpine Skiing	22	163	73	Alpine Skiing Women's Super G
112335	Leanne Smith	F	United States	USA	Alpine Skiing	22	163	73	Alpine Skiing Women's Combined
111825	Matic Skube	M	Slovenia	SLO	Alpine Skiing	21	184	80	Alpine Skiing Men's Slalom
111794	Anastasiya Ihorivna Skriabina	F	Ukraine	UKR	Alpine Skiing	24	164	55	Alpine Skiing Women's Super G
111794	Anastasiya Ihorivna Skriabina	F	Ukraine	UKR	Alpine Skiing	24	164	55	Alpine Skiing Women's Giant Slalom
111794	Anastasiya Ihorivna Skriabina	F	Ukraine	UKR	Alpine Skiing	24	164	55	Alpine Skiing Women's Slalom
110808	Davide Simoncelli	M	Italy	ITA	Alpine Skiing	31	175	75	Alpine Skiing Men's Giant Slalom
110716	Georgia Simmerling	F	Canada	CAN	Alpine Skiing	20	172	67	Alpine Skiing Women's Super G
110632	Mara Beln Simari Birkner	F	Argentina	ARG	Alpine Skiing	27	168	60	Alpine Skiing Women's Downhill
110632	Mara Beln Simari Birkner	F	Argentina	ARG	Alpine Skiing	27	168	60	Alpine Skiing Women's Super G
110632	Mara Beln Simari Birkner	F	Argentina	ARG	Alpine Skiing	27	168	60	Alpine Skiing Women's Giant Slalom
110632	Mara Beln Simari Birkner	F	Argentina	ARG	Alpine Skiing	27	168	60	Alpine Skiing Women's Slalom
110632	Mara Beln Simari Birkner	F	Argentina	ARG	Alpine Skiing	27	168	60	Alpine Skiing Women's Combined
110631	Macarena Mara Simari Birkner	F	Argentina	ARG	Alpine Skiing	25	168	60	Alpine Skiing Women's Downhill
110631	Macarena Mara Simari Birkner	F	Argentina	ARG	Alpine Skiing	25	168	60	Alpine Skiing Women's Super G
110631	Macarena Mara Simari Birkner	F	Argentina	ARG	Alpine Skiing	25	168	60	Alpine Skiing Women's Giant Slalom
110631	Macarena Mara Simari Birkner	F	Argentina	ARG	Alpine Skiing	25	168	60	Alpine Skiing Women's Slalom
110631	Macarena Mara Simari Birkner	F	Argentina	ARG	Alpine Skiing	25	168	60	Alpine Skiing Women's Combined
110630	Cristian Javier Simari Birkner	M	Argentina	ARG	Alpine Skiing	29	184	86	Alpine Skiing Men's Downhill
110630	Cristian Javier Simari Birkner	M	Argentina	ARG	Alpine Skiing	29	184	86	Alpine Skiing Men's Giant Slalom
110630	Cristian Javier Simari Birkner	M	Argentina	ARG	Alpine Skiing	29	184	86	Alpine Skiing Men's Slalom
110630	Cristian Javier Simari Birkner	M	Argentina	ARG	Alpine Skiing	29	184	86	Alpine Skiing Men's Combined
110362	Stefn Jn Sigurgeirsson	M	Iceland	ISL	Alpine Skiing	20	184	85	Alpine Skiing Men's Super G
110362	Stefn Jn Sigurgeirsson	M	Iceland	ISL	Alpine Skiing	20	184	85	Alpine Skiing Men's Slalom
109922	Mariya Igorevna Shkanova	F	Belarus	BLR	Alpine Skiing	20	166	66	Alpine Skiing Women's Super G
109922	Mariya Igorevna Shkanova	F	Belarus	BLR	Alpine Skiing	20	166	66	Alpine Skiing Women's Giant Slalom
109922	Mariya Igorevna Shkanova	F	Belarus	BLR	Alpine Skiing	20	166	66	Alpine Skiing Women's Slalom
109192	Oleg Shamayev	M	Uzbekistan	UZB	Alpine Skiing	27	180	65	Alpine Skiing Men's Giant Slalom
109192	Oleg Shamayev	M	Uzbekistan	UZB	Alpine Skiing	27	180	65	Alpine Skiing Men's Slalom
108786	Ani-Matilda Serebrakyan	F	Armenia	ARM	Alpine Skiing	21	163	68	Alpine Skiing Women's Giant Slalom
108786	Ani-Matilda Serebrakyan	F	Armenia	ARM	Alpine Skiing	21	163	68	Alpine Skiing Women's Slalom
108563	Ryan Semple	M	Canada	CAN	Alpine Skiing	27	183	85	Alpine Skiing Men's Combined
108145	Leyti Alexander Seck	M	Senegal	SEN	Alpine Skiing	28	NA	NA	Alpine Skiing Men's Giant Slalom
108145	Leyti Alexander Seck	M	Senegal	SEN	Alpine Skiing	28	NA	NA	Alpine Skiing Men's Slalom
108018	Peter Scott	M	South Africa	RSA	Alpine Skiing	19	178	70	Alpine Skiing Men's Giant Slalom
107456	Philipp Schrghofer	M	Austria	AUT	Alpine Skiing	27	176	77	Alpine Skiing Men's Giant Slalom
107238	Johanna "Hanna" Schnarf	F	Italy	ITA	Alpine Skiing	25	172	68	Alpine Skiing Women's Downhill
107238	Johanna "Hanna" Schnarf	F	Italy	ITA	Alpine Skiing	25	172	68	Alpine Skiing Women's Super G
107238	Johanna "Hanna" Schnarf	F	Italy	ITA	Alpine Skiing	25	172	68	Alpine Skiing Women's Combined
107066	Nicole Schmidhofer	F	Austria	AUT	Alpine Skiing	20	157	59	Alpine Skiing Women's Super G
106969	Sarah Kathryn Schleper (-de Gaxiola)	F	United States	USA	Alpine Skiing	30	162	61	Alpine Skiing Women's Giant Slalom
106969	Sarah Kathryn Schleper (-de Gaxiola)	F	United States	USA	Alpine Skiing	30	162	61	Alpine Skiing Women's Slalom
106861	Marlies Schild (-Raich)	F	Austria	AUT	Alpine Skiing	28	172	66	Alpine Skiing Women's Slalom
106673	Mario Scheiber	M	Austria	AUT	Alpine Skiing	26	176	84	Alpine Skiing Men's Downhill
106673	Mario Scheiber	M	Austria	AUT	Alpine Skiing	26	176	84	Alpine Skiing Men's Super G
106208	Pouria Saveh Shemshaki	M	Iran	IRI	Alpine Skiing	22	177	64	Alpine Skiing Men's Giant Slalom
106208	Pouria Saveh Shemshaki	M	Iran	IRI	Alpine Skiing	22	177	64	Alpine Skiing Men's Slalom
106207	Hossein Saveh Shemshaki	M	Iran	IRI	Alpine Skiing	24	180	75	Alpine Skiing Men's Giant Slalom
106207	Hossein Saveh Shemshaki	M	Iran	IRI	Alpine Skiing	24	180	75	Alpine Skiing Men's Slalom
105904	Akira Sasaki	M	Japan	JPN	Alpine Skiing	28	181	81	Alpine Skiing Men's Slalom
105303	Marcus Johan Sandell	M	Finland	FIN	Alpine Skiing	22	177	83	Alpine Skiing Men's Giant Slalom
105037	Dalibor amal	M	Croatia	CRO	Alpine Skiing	24	183	86	Alpine Skiing Men's Giant Slalom
105037	Dalibor amal	M	Croatia	CRO	Alpine Skiing	24	183	86	Alpine Skiing Men's Slalom
103851	James David "Dave" Ryding	M	Great Britain	GBR	Alpine Skiing	23	180	74	Alpine Skiing Men's Giant Slalom
